"""Question ID"",""Subject"",""Question Text"",""Options"",""Correct Answer"",""Difficulty Level"",""Skill Type"",""Topic"",""Subtopic"""
"""Q015"",""Physics"",""The magnetic field at the center of a circular loop of radius 0.1 m carrying 2 A (μ₀ = 4π × 10⁻⁷ T·m/A) is:"",""A) 4 × 10⁻⁶ T;B) 8 × 10⁻⁶ T;C) 12 × 10⁻⁶ T;D) 16 × 10⁻⁶ T"",""A"",""Hard"",""Formula Application"",""Electrodynamics"",""Magnetism"""
"""Q016"",""Physics"",""What is the SI unit of magnetic flux?"",""A) Tesla;B) Weber;C) Henry;D) Gauss"",""B"",""Easy"",""Definition-Based Knowledge"",""Electrodynamics"",""Electromagnetic Induction"""
"""Q017"",""Physics"",""The frequency of a wave with a wavelength of 2 m and speed 340 m/s is:"",""A) 160 Hz;B) 170 Hz;C) 180 Hz;D) 190 Hz"",""B"",""Medium"",""Formula Application"",""Waves"",""Wave Motion"""
"""Q018"",""Physics"",""What is the focal length of a convex lens that forms a real image twice the size of the object placed 10 cm away?"",""A) 5 cm;B) 10 cm;C) 15 cm;D) 20 cm"",""D"",""Medium"",""Formula Application"",""Optics"",""Geometrical Optics"""
"""Q019"",""Physics"",""The speed of light in a medium with refractive index 1.5 is:"",""A) 1.5 × 10⁸ m/s;B) 2.0 × 10⁸ m/s;C) 2.5 × 10⁸ m/s;D) 3.0 × 10⁸ m/s"",""B"",""Medium"",""Formula Application"",""Optics"",""Refraction"""
"""Q020"",""Physics"",""The energy of a photon with wavelength 400 nm (h = 6.6 × 10⁻³⁴ J·s, c = 3 × 10⁸ m/s) is approximately:"",""A) 3.0 × 10⁻¹⁹ J;B) 4.0 × 10⁻¹⁹ J;C) 5.0 × 10⁻¹⁹ J;D) 6.0 × 10⁻¹⁹ J"",""C"",""Hard"",""Formula Application"",""Modern Physics"",""Quantum Mechanics"""
"""Q021"",""Physics"",""A body of mass 2 kg falls freely from a height of 5 m (g = 10 m/s²). What is its kinetic energy just before hitting the ground?"",""A) 50 J;B) 75 J;C) 100 J;D) 125 J"",""C"",""Medium"",""Formula Application"",""Mechanics"",""Work and Energy"""
"""Q022"",""Physics"",""The angular velocity of a wheel rotating at 120 rpm is:"",""A) 4π rad/s;B) 8π rad/s;C) 12π rad/s;D) 16π rad/s"",""A"",""Medium"",""Formula Application"",""Mechanics"",""Rotational Motion"""
"""Q023"",""Physics"",""What is the moment of inertia of a solid sphere of mass 2 kg and radius 0.1 m about its diameter?"",""A) 0.004 kg·m²;B) 0.008 kg·m²;C) 0.012 kg·m²;D) 0.016 kg·m²"",""B"",""Hard"",""Formula Application"",""Mechanics"",""Rotational Motion"""
"""Q024"",""Physics"",""The escape velocity from Earth’s surface (g = 10 m/s², R = 6.4 × 10⁶ m) is approximately:"",""A) 10 km/s;B) 11 km/s;C) 12 km/s;D) 13 km/s"",""B"",""Hard"",""Formula Application"",""Mechanics"",""Gravitation"""
"""Q025"",""Physics"",""A spring with spring constant 200 N/m is stretched by 0.1 m. What is the potential energy stored?"",""A) 1 J;B) 2 J;C) 3 J;D) 4 J"",""B"",""Medium"",""Formula Application"",""Mechanics"",""Oscillations"""
"""Q026"",""Physics"",""What is the equivalent resistance of two 6 Ω resistors in parallel?"",""A) 2 Ω;B) 3 Ω;C) 4 Ω;D) 6 Ω"",""B"",""Easy"",""Formula Application"",""Electrodynamics"",""Current Electricity"""
"""Q027"",""Physics"",""The capacitance of a parallel plate capacitor with area 0.02 m², separation 0.01 m, and ε₀ = 8.85 × 10⁻¹² F/m is:"",""A) 1.77 × 10⁻¹¹ F;B) 2.77 × 10⁻¹¹ F;C) 3.77 × 10⁻¹¹ F;D) 4.77 × 10⁻¹¹ F"",""A"",""Hard"",""Formula Application"",""Electrodynamics"",""Electrostatics"""
"""Q028"",""Physics"",""What is the heat required to raise the temperature of 2 kg of water from 20°C to 30°C? (specific heat = 4200 J/kg·°C)"",""A) 84,000 J;B) 94,000 J;C) 104,000 J;D) 114,000 J"",""A"",""Medium"",""Formula Application"",""Thermodynamics"",""Heat and Temperature"""
"""Q029"",""Physics"",""The efficiency of a Carnot engine operating between 400 K and 300 K is:"",""A) 20%;B) 25%;C) 30%;D) 35%"",""B"",""Medium"",""Formula Application"",""Thermodynamics"",""Heat Engines"""
"""Q030"",""Physics"",""The de Broglie wavelength of an electron accelerated through 100 V (h = 6.6 × 10⁻³⁴ J·s, m = 9.1 × 10⁻³¹ kg, e = 1.6 × 10⁻¹⁹ C) is approximately:"",""A) 0.12 nm;B) 0.22 nm;C) 0.32 nm;D) 0.42 nm"",""A"",""Hard"",""Formula Application"",""Modern Physics"",""Quantum Mechanics"""
"""Q031"",""Physics"",""A projectile is launched at 30° with a velocity of 20 m/s. What is the horizontal range? (g = 10 m/s²)"",""A) 20√3 m;B) 30√3 m;C) 40√3 m;D) 50√3 m"",""C"",""Hard"",""Analytical Skills"",""Mechanics"",""Projectile Motion"""
"""Q032"",""Physics"",""The speed of sound in air at 0°C is approximately:"",""A) 331 m/s;B) 340 m/s;C) 350 m/s;D) 360 m/s"",""A"",""Easy"",""Definition-Based Knowledge"",""Waves"",""Sound Waves"""
"""Q033"",""Physics"",""What is the angle of deviation for a prism with an angle of 60° and refractive index 1.5?"",""A) 30°;B) 37°;C) 45°;D) 60°"",""B"",""Hard"",""Analytical Skills"",""Optics"",""Refraction"""
"""Q034"",""Physics"",""The half-life of a radioactive sample is 2 hours. What fraction remains after 6 hours?"",""A) 1/2;B) 1/4;C) 1/8;D) 1/16"",""C"",""Medium"",""Formula Application"",""Modern Physics"",""Nuclear Physics"""
"""Q035"",""Physics"",""A 10 kg mass is lifted 2 m with an acceleration of 2 m/s² (g = 10 m/s²). What is the work done?"",""A) 200 J;B) 240 J;C) 280 J;D) 320 J"",""B"",""Hard"",""Analytical Skills"",""Mechanics"",""Work and Energy"""
"""Q036"",""Physics"",""The current through a 20 Ω resistor connected to a 40 V battery is:"",""A) 1 A;B) 2 A;C) 3 A;D) 4 A"",""B"",""Easy"",""Formula Application"",""Electrodynamics"",""Current Electricity"""
"""Q037"",""Physics"",""What is the kinetic energy of a 3 kg object moving at 6 m/s?"",""A) 36 J;B) 54 J;C) 72 J;D) 90 J"",""B"",""Medium"",""Formula Application"",""Mechanics"",""Work and Energy"""
"""Q038"",""Physics"",""The frequency of the first harmonic in a 0.5 m long string fixed at both ends (v = 100 m/s) is:"",""A) 50 Hz;B) 100 Hz;C) 150 Hz;D) 200 Hz"",""B"",""Medium"",""Formula Application"",""Waves"",""Standing Waves"""
"""Q039"",""Physics"",""The critical angle for a medium with refractive index 1.414 is:"",""A) 30°;B) 45°;C) 60°;D) 90°"",""B"",""Medium"",""Formula Application"",""Optics"",""Total Internal Reflection"""
"""Q040"",""Physics"",""The energy released in the fission of a U-235 nucleus is approximately:"",""A) 100 MeV;B) 150 MeV;C) 200 MeV;D) 250 MeV"",""C"",""Easy"",""Definition-Based Knowledge"",""Modern Physics"",""Nuclear Physics"""
"""Q041"",""Physics"",""A body moves with uniform acceleration and covers 50 m in 5 s from rest. What is its acceleration?"",""A) 2 m/s²;B) 3 m/s²;C) 4 m/s²;D) 5 m/s²"",""C"",""Medium"",""Formula Application"",""Mechanics"",""Kinematics"""
"""Q042"",""Physics"",""The torque on a 2 m long rod with a 10 N force applied perpendicularly at one end is:"",""A) 10 N·m;B) 20 N·m;C) 30 N·m;D) 40 N·m"",""B"",""Medium"",""Formula Application"",""Mechanics"",""Rotational Motion"""
"""Q043"",""Physics"",""What is the electric field inside a conductor in electrostatic equilibrium?"",""A) Zero;B) Constant;C) Infinite;D) Proportional to charge"",""A"",""Easy"",""Conceptual Understanding"",""Electrodynamics"",""Electrostatics"""
"""Q044"",""Physics"",""The heat required to melt 1 kg of ice at 0°C (latent heat = 334 kJ/kg) is:"",""A) 234 kJ;B) 334 kJ;C) 434 kJ;D) 534 kJ"",""B"",""Medium"",""Formula Application"",""Thermodynamics"",""Heat and Phase Change"""
"""Q045"",""Physics"",""The wavelength of a sound wave with frequency 500 Hz and speed 340 m/s is:"",""A) 0.58 m;B) 0.68 m;C) 0.78 m;D) 0.88 m"",""B"",""Medium"",""Formula Application"",""Waves"",""Wave Motion"""
"""Q046"",""Physics"",""A concave mirror forms a real image at 20 cm when the object is placed at 30 cm. What is its focal length?"",""A) 12 cm;B) 15 cm;C) 18 cm;D) 20 cm"",""A"",""Hard"",""Formula Application"",""Optics"",""Geometrical Optics"""
"""Q047"",""Physics"",""The binding energy per nucleon is maximum for which element?"",""A) Hydrogen;B) Iron;C) Uranium;D) Helium"",""B"",""Medium"",""Conceptual Understanding"",""Modern Physics"",""Nuclear Physics"""
"""Q048"",""Physics"",""A 5 kg block slides down a frictionless incline of 30°. What is its acceleration? (g = 10 m/s²)"",""A) 2.5 m/s²;B) 5 m/s²;C) 7.5 m/s²;D) 10 m/s²"",""B"",""Medium"",""Formula Application"",""Mechanics"",""Newton’s Laws"""
"""Q049"",""Physics"",""The resistance of a wire doubles when its length is doubled. What happens to its resistivity?"",""A) Doubles;B) Halves;C) Remains same;D) Quadruples"",""C"",""Medium"",""Conceptual Understanding"",""Electrodynamics"",""Current Electricity"""
"""Q050"",""Physics"",""The energy stored in a capacitor of capacitance 10 μF charged to 100 V is:"",""A) 0.025 J;B) 0.05 J;C) 0.075 J;D) 0.1 J"",""B"",""Medium"",""Formula Application"",""Electrodynamics"",""Electrostatics"""
"""Q051"",""Physics"",""A body of mass 1 kg is moving with a velocity of 10 m/s. What is its de Broglie wavelength? (h = 6.6 × 10⁻³⁴ J·s)"",""A) 6.6 × 10⁻³⁵ m;B) 6.6 × 10⁻³⁴ m;C) 6.6 × 10⁻³³ m;D) 6.6 × 10⁻³² m"",""B"",""Hard"",""Formula Application"",""Modern Physics"",""Quantum Mechanics"""
"""Q052"",""Physics"",""The pressure of an ideal gas is doubled while its volume is halved. What happens to the temperature?"",""A) Doubles;B) Halves;C) Remains same;D) Quadruples"",""C"",""Medium"",""Conceptual Understanding"",""Thermodynamics"",""Kinetic Theory"""
" ""Q001"",""Mathematics"",""If 5x - 7 = 18, what is the value of x?"",""A) 4;B) 5;C) 6;D) 7"",""B"",""Easy"",""Formula Application"",""Linear Equations"",""Solving Equations"""
"""Q002"",""Mathematics"",""What is the value of cos 30°?"",""A) 1/2;B) √2/2;C) √3/2;D) 1"",""C"",""Easy"",""Definition-Based Knowledge"",""Trigonometry"",""Trigonometric Ratios"""
"""Q003"",""Mathematics"",""The roots of x² - 8x + 15 = 0 are:"",""A) 3 and 5;B) 2 and 6;C) 1 and 7;D) 4 and 4"",""A"",""Easy"",""Formula Application"",""Quadratic Equations"",""Roots of Equations"""
"""Q004"",""Mathematics"",""What is the derivative of 5x⁴?"",""A) 10x³;B) 15x³;C) 20x³;D) 25x³"",""C"",""Medium"",""Formula Application"",""Calculus"",""Differentiation"""
"""Q005"",""Mathematics"",""The sum of the first 20 odd natural numbers is:"",""A) 200;B) 300;C) 400;D) 500"",""C"",""Medium"",""Formula Application"",""Sequences and Series"",""Arithmetic Progression"""
"""Q006"",""Mathematics"",""If log₅ 125 = x, what is x?"",""A) 2;B) 3;C) 4;D) 5"",""B"",""Medium"",""Formula Application"",""Logarithms"",""Logarithmic Equations"""
"""Q007"",""Mathematics"",""What is the circumference of a circle with diameter 10 cm?"",""A) 10π cm;B) 20π cm;C) 25π cm;D) 30π cm"",""C"",""Easy"",""Formula Application"",""Coordinate Geometry"",""Circles"""
"""Q008"",""Mathematics"",""If sin θ = 1, what is θ?"",""A) 0°;B) 30°;C) 45°;D) 90°"",""D"",""Easy"",""Definition-Based Knowledge"",""Trigonometry"",""Trigonometric Ratios"""
"""Q009"",""Mathematics"",""What is ∫₀⁴ 2x dx?"",""A) 8;B) 12;C) 16;D) 20"",""C"",""Medium"",""Formula Application"",""Calculus"",""Definite Integrals"""
"""Q010"",""Mathematics"",""If p + q = 9 and pq = 20, what is p² + q²?"",""A) 41;B) 61;C) 81;D) 101"",""A"",""Hard"",""Analytical Skills"",""Algebra"",""Identities"""
"""Q011"",""Mathematics"",""The slope of the line 5x + 2y - 10 = 0 is:"",""A) -5/2;B) -2/5;C) 2/5;D) 5/2"",""A"",""Easy"",""Formula Application"",""Coordinate Geometry"",""Straight Lines"""
"""Q012"",""Mathematics"",""What is sin 45° + cos 45°?"",""A) 1;B) √2;C) 2;D) √3"",""B"",""Easy"",""Formula Application"",""Trigonometry"",""Trigonometric Functions"""
"""Q013"",""Mathematics"",""The number of ways to arrange 3 distinct pens is:"",""A) 3;B) 6;C) 9;D) 12"",""B"",""Easy"",""Formula Application"",""Permutations and Combinations"",""Permutations"""
"""Q014"",""Mathematics"",""What is the limit of (x² - 25)/(x - 5) as x approaches 5?"",""A) 5;B) 10;C) 15;D) Undefined"",""B"",""Medium"",""Analytical Skills"",""Calculus"",""Limits"""
"""Q015"",""Mathematics"",""If 4x² - 12x + 9 = 0, what are the roots?"",""A) 3/2 and 3/2;B) 2 and 2;C) 1 and 3;D) 3 and 4"",""A"",""Medium"",""Formula Application"",""Quadratic Equations"",""Roots of Equations"""
"""Q016"",""Mathematics"",""What is the probability of drawing a queen from a deck of 52 cards?"",""A) 1/13;B) 1/26;C) 1/52;D) 2/13"",""A"",""Easy"",""Conceptual Understanding"",""Probability"",""Basic Probability"""
"""Q017"",""Mathematics"",""The determinant of [[1, 2], [3, 5]] is:"",""A) -1;B) 1;C) 2;D) 3"",""A"",""Medium"",""Formula Application"",""Matrices"",""Determinants"""
"""Q018"",""Mathematics"",""What is the value of √(49 + 576)?"",""A) 23;B) 24;C) 25;D) 26"",""C"",""Easy"",""Formula Application"",""Algebra"",""Square Roots"""
"""Q019"",""Mathematics"",""If tan θ = 4/3, what is cos θ?"",""A) 3/5;B) 4/5;C) 5/3;D) 5/4"",""A"",""Medium"",""Formula Application"",""Trigonometry"",""Pythagorean Identity"""
"""Q020"",""Mathematics"",""The sum of the series 5 + 10 + 15 + ... + 50 is:"",""A) 250;B) 275;C) 300;D) 325"",""B"",""Medium"",""Formula Application"",""Sequences and Series"",""Arithmetic Progression"""
"""Q021"",""Mathematics"",""The equation of a line passing through (0, 4) with slope -1 is:"",""A) y + x = 4;B) y - x = 4;C) y + x = -4;D) y - x = -4"",""A"",""Medium"",""Formula Application"",""Coordinate Geometry"",""Straight Lines"""
"""Q022"",""Mathematics"",""What is ∫ 3x² dx?"",""A) x³;B) 3x³;C) x³/3;D) 9x"",""A"",""Medium"",""Formula Application"",""Calculus"",""Indefinite Integrals"""
"""Q023"",""Mathematics"",""If 2^x = 64, what is x?"",""A) 4;B) 5;C) 6;D) 7"",""C"",""Medium"",""Formula Application"",""Logarithms"",""Exponential Equations"""
"""Q024"",""Mathematics"",""What is the maximum value of cos θ?"",""A) 0;B) 1;C) -1;D) ∞"",""B"",""Easy"",""Definition-Based Knowledge"",""Trigonometry"",""Trigonometric Functions"""
"""Q025"",""Mathematics"",""The roots of x² + 5x + 6 = 0 are:"",""A) -2 and -3;B) -1 and -6;C) 1 and 6;D) 2 and 3"",""A"",""Medium"",""Formula Application"",""Quadratic Equations"",""Roots of Equations"""
"""Q026"",""Mathematics"",""What is the derivative of e^(2x)?"",""A) e^(2x);B) 2e^(2x);C) e^x;D) 2e^x"",""B"",""Medium"",""Formula Application"",""Calculus"",""Differentiation"""
"""Q027"",""Mathematics"",""The number of ways to choose 2 students from 7 is:"",""A) 14;B) 21;C) 28;D) 35"",""B"",""Medium"",""Formula Application"",""Permutations and Combinations"",""Combinations"""
"""Q028"",""Mathematics"",""What is the area of a parallelogram with base 6 cm and height 4 cm?"",""A) 20 cm²;B) 24 cm²;C) 28 cm²;D) 32 cm²"",""B"",""Easy"",""Formula Application"",""Geometry"",""Area of Parallelogram"""
"""Q029"",""Mathematics"",""If 2x + 5y = 20 and x + y = 7, what is x?"",""A) 2;B) 3;C) 4;D) 5"",""B"",""Medium"",""Analytical Skills"",""Linear Equations"",""System of Equations"""
"""Q030"",""Mathematics"",""What is the value of sec 60°?"",""A) 1;B) 2;C) √2;D) √3"",""B"",""Easy"",""Definition-Based Knowledge"",""Trigonometry"",""Trigonometric Ratios"""
"""Q031"",""Mathematics"",""The sum of an infinite geometric series with first term 4 and common ratio 1/4 is:"",""A) 16/3;B) 5;C) 6;D) 8"",""A"",""Medium"",""Formula Application"",""Sequences and Series"",""Geometric Progression"""
"""Q032"",""Mathematics"",""What is the limit of x/(x + 1) as x approaches ∞?"",""A) 0;B) 1;C) ∞;D) -1"",""B"",""Medium"",""Conceptual Understanding"",""Calculus"",""Limits"""
"""Q033"",""Mathematics"",""If a = 5i - 2j and b = 3i + j, what is a · b?"",""A) 13;B) 14;C) 15;D) 16"",""A"",""Medium"",""Formula Application"",""Vectors"",""Dot Product"""
"""Q034"",""Mathematics"",""What is the inverse of y = 3x + 4?"",""A) y = (x-4)/3;B) y = 3x - 4;C) y = x/3;D) y = (x+4)/3"",""A"",""Medium"",""Formula Application"",""Functions"",""Inverse Functions"""
"""Q035"",""Mathematics"",""The roots of x³ - 7x² + 14x - 8 = 0 are:"",""A) 1, 2, 4;B) 2, 3, 4;C) 1, 3, 4;D) 1, 2, 5"",""A"",""Hard"",""Analytical Skills"",""Algebra"",""Polynomial Equations"""
"""Q036"",""Mathematics"",""What is ∫₀π sin x dx?"",""A) 0;B) 1;C) 2;D) 3"",""C"",""Hard"",""Formula Application"",""Calculus"",""Definite Integrals"""
"""Q037"",""Mathematics"",""The probability of getting exactly 2 sixes in 4 rolls of a die is:"",""A) 25/216;B) 50/216;C) 75/216;D) 100/216"",""A"",""Hard"",""Analytical Skills"",""Probability"",""Binomial Probability"""
"""Q038"",""Mathematics"",""What is the value of cot 90°?"",""A) 0;B) 1;C) ∞;D) Undefined"",""A"",""Easy"",""Definition-Based Knowledge"",""Trigonometry"",""Trigonometric Ratios"""
"""Q039"",""Mathematics"",""If log₆ 36 = x, what is x?"",""A) 1;B) 2;C) 3;D) 4"",""B"",""Medium"",""Formula Application"",""Logarithms"",""Logarithmic Equations"""
"""Q040"",""Mathematics"",""The equation of a circle with center (3, -1) and radius 4 is:"",""A) (x-3)² + (y+1)² = 16;B) (x+3)² + (y-1)² = 16;C) (x-3)² + (y+1)² = 4;D) (x+3)² + (y-1)² = 4"",""A"",""Medium"",""Formula Application"",""Coordinate Geometry"",""Equation of Circle"""
"""Q041"",""Mathematics"",""What is the derivative of csc x?"",""A) -csc x cot x;B) csc x cot x;C) -sec x tan x;D) sec x tan x"",""A"",""Medium"",""Formula Application"",""Calculus"",""Differentiation"""
"""Q042"",""Mathematics"",""The number of terms in the expansion of (a + b + c)³ is:"",""A) 6;B) 9;C) 10;D) 12"",""C"",""Hard"",""Conceptual Understanding"",""Algebra"",""Multinomial Theorem"""
"""Q043"",""Mathematics"",""What is the sum of the interior angles of a quadrilateral?"",""A) 180°;B) 360°;C) 540°;D) 720°"",""B"",""Easy"",""Definition-Based Knowledge"",""Geometry"",""Polygons"""
"""Q044"",""Mathematics"",""If 9x - 3 = 24, what is x?"",""A) 2;B) 3;C) 4;D) 5"",""B"",""Easy"",""Formula Application"",""Linear Equations"",""Solving Equations"""
"""Q045"",""Mathematics"",""What is the value of tan² 45°?"",""A) 0;B) 1;C) √2;D) 2"",""B"",""Easy"",""Formula Application"",""Trigonometry"",""Trigonometric Identities"""
"""Q046"",""Mathematics"",""The roots of 2x² + 3x - 5 = 0 are:"",""A) -5/2 and 1;B) -1 and 5/2;C) 1 and -5/2;D) 2 and -5"",""B"",""Medium"",""Formula Application"",""Quadratic Equations"",""Roots of Equations"""
"""Q047"",""Mathematics"",""What is ∫₀² (x + 3) dx?"",""A) 5;B) 6;C) 7;D) 8"",""D"",""Medium"",""Formula Application"",""Calculus"",""Definite Integrals"""
"""Q048"",""Mathematics"",""If x + y + z = 0, what is x³ + y³ + z³ - 3xyz?"",""A) 0;B) xyz;C) 2xyz;D) 3xyz"",""A"",""Hard"",""Analytical Skills"",""Algebra"",""Identities"""
"""Q049"",""Mathematics"",""The probability of drawing a red ball from a bag with 4 red and 6 blue balls is:"",""A) 2/5;B) 3/5;C) 4/5;D) 1/2"",""A"",""Easy"",""Conceptual Understanding"",""Probability"",""Basic Probability"""
"""Q050"",""Mathematics"",""What is the determinant of [[4, 1], [2, 3]]?"",""A) 10;B) 11;C) 12;D) 13"",""A"",""Medium"",""Formula Application"",""Matrices"",""Determinants"""
"""Q051"",""Mathematics"",""What is the value of √(121)?"",""A) 9;B) 10;C) 11;D) 12"",""C"",""Easy"",""Formula Application"",""Algebra"",""Square Roots"""
"""Q052"",""Mathematics"",""If cot θ = 5/12, what is sin θ?"",""A) 5/13;B) 12/13;C) 13/12;D) 13/5"",""B"",""Medium"",""Formula Application"",""Trigonometry"",""Pythagorean Identity"""
"""Q053"",""Mathematics"",""The sum of the series 7 + 14 + 21 + ... + 70 is:"",""A) 350;B) 385;C) 420;D) 455"",""B"",""Medium"",""Formula Application"",""Sequences and Series"",""Arithmetic Progression"""
"""Q054"",""Mathematics"",""The slope of the line passing through (0, 0) and (4, 8) is:"",""A) 1;B) 2;C) 3;D) 4"",""B"",""Easy"",""Formula Application"",""Coordinate Geometry"",""Straight Lines"""
"""Q055"",""Mathematics"",""What is ∫ 4 dx?"",""A) 4;B) 4x;C) x⁴;D) 2x²"",""B"",""Easy"",""Formula Application"",""Calculus"",""Indefinite Integrals"""
"""Q056"",""Mathematics"",""If 6^x = 216, what is x?"",""A) 2;B) 3;C) 4;D) 5"",""B"",""Medium"",""Formula Application"",""Logarithms"",""Exponential Equations"""
"""Q057"",""Mathematics"",""What is the minimum value of 2 cos θ?"",""A) -2;B) 0;C) 2;D) ∞"",""A"",""Easy"",""Definition-Based Knowledge"",""Trigonometry"",""Trigonometric Functions"""
"""Q058"",""Mathematics"",""The roots of x² + 7x + 12 = 0 are:"",""A) -3 and -4;B) -2 and -5;C) 3 and 4;D) 2 and 5"",""A"",""Medium"",""Formula Application"",""Quadratic Equations"",""Roots of Equations"""
"""Q059"",""Mathematics"",""What is the derivative of x⁶?"",""A) 5x⁵;B) 6x⁵;C) 7x⁶;D) 6x⁴"",""B"",""Medium"",""Formula Application"",""Calculus"",""Differentiation"""
"""Q060"",""Mathematics"",""The number of ways to choose 3 items from 8 is:"",""A) 48;B) 56;C) 64;D) 72"",""B"",""Medium"",""Formula Application"",""Permutations and Combinations"",""Combinations"""
"""Q061"",""Mathematics"",""What is the perimeter of a square with side 9 cm?"",""A) 27 cm;B) 36 cm;C) 45 cm;D) 54 cm"",""B"",""Easy"",""Formula Application"",""Geometry"",""Perimeter of Square"""
"""Q062"",""Mathematics"",""If 6x + 3y = 24 and 2x + y = 8, what is x?"",""A) 2;B) 3;C) 4;D) 5"",""C"",""Medium"",""Analytical Skills"",""Linear Equations"",""System of Equations"""
"""Q063"",""Mathematics"",""What is the value of csc 30°?"",""A) 1;B) 2;C) √2;D) √3"",""B"",""Easy"",""Definition-Based Knowledge"",""Trigonometry"",""Trigonometric Ratios"""
"""Q064"",""Mathematics"",""The sum of a geometric series with first term 3, common ratio 3, and 4 terms is:"",""A) 120;B) 123;C) 126;D) 129"",""A"",""Medium"",""Formula Application"",""Sequences and Series"",""Geometric Progression"""
"""Q065"",""Mathematics"",""What is the limit of (x³ - 1)/(x - 1) as x approaches 1?"",""A) 1;B) 2;C) 3;D) 4"",""C"",""Hard"",""Analytical Skills"",""Calculus"",""Limits"""
"""Q066"",""Mathematics"",""If a = 2i + 4j and b = -3i + j, what is a · b?"",""A) -2;B) 0;C) 2;D) 4"",""A"",""Medium"",""Formula Application"",""Vectors"",""Dot Product"""
" ""Q001"",""Mathematics"",""If 3x + 5 = 14, what is the value of x?"",""A) 2;B) 3;C) 4;D) 5"",""B"",""Easy"",""Formula Application"",""Linear Equations"",""Solving Equations"""
"""Q002"",""Mathematics"",""What is the value of sin 60°?"",""A) 1/2;B) √2/2;C) √3/2;D) 1"",""C"",""Easy"",""Definition-Based Knowledge"",""Trigonometry"",""Trigonometric Ratios"""
"""Q003"",""Mathematics"",""The roots of x² - 5x + 6 = 0 are:"",""A) 2 and 3;B) 1 and 6;C) 3 and 4;D) 2 and 4"",""A"",""Easy"",""Formula Application"",""Quadratic Equations"",""Roots of Equations"""
"""Q004"",""Mathematics"",""What is the derivative of 4x³?"",""A) 4x²;B) 8x²;C) 12x²;D) 16x²"",""C"",""Medium"",""Formula Application"",""Calculus"",""Differentiation"""
"""Q005"",""Mathematics"",""The sum of the first 15 natural numbers is:"",""A) 100;B) 110;C) 120;D) 120"",""C"",""Medium"",""Formula Application"",""Sequences and Series"",""Arithmetic Progression"""
"""Q006"",""Mathematics"",""If log₂ 16 = x, what is x?"",""A) 2;B) 3;C) 4;D) 5"",""C"",""Medium"",""Formula Application"",""Logarithms"",""Logarithmic Equations"""
"""Q007"",""Mathematics"",""What is the area of a circle with radius 3 cm?"",""A) 6π cm²;B) 9π cm²;C) 12π cm²;D) 15π cm²"",""B"",""Easy"",""Formula Application"",""Coordinate Geometry"",""Circles"""
"""Q008"",""Mathematics"",""If tan θ = √3, what is θ?"",""A) 30°;B) 45°;C) 60°;D) 90°"",""C"",""Easy"",""Definition-Based Knowledge"",""Trigonometry"",""Trigonometric Ratios"""
"""Q009"",""Mathematics"",""What is ∫₀³ 3x dx?"",""A) 9/2;B) 13/2;C) 27/2;D) 33/2"",""C"",""Medium"",""Formula Application"",""Calculus"",""Definite Integrals"""
"""Q010"",""Mathematics"",""If a + b = 7 and ab = 12, what is a² + b²?"",""A) 25;B) 37;C) 49;D) 61"",""A"",""Hard"",""Analytical Skills"",""Algebra"",""Identities"""
"""Q011"",""Mathematics"",""The slope of the line 3x - 4y + 12 = 0 is:"",""A) 3/4;B) -3/4;C) 4/3;D) -4/3"",""A"",""Easy"",""Formula Application"",""Coordinate Geometry"",""Straight Lines"""
"""Q012"",""Mathematics"",""What is sin² 30° + cos² 30°?"",""A) 0;B) 1/2;C) 1;D) 2"",""C"",""Easy"",""Formula Application"",""Trigonometry"",""Trigonometric Identities"""
"""Q013"",""Mathematics"",""The number of ways to arrange 4 distinct objects is:"",""A) 12;B) 24;C) 36;D) 48"",""B"",""Medium"",""Formula Application"",""Permutations and Combinations"",""Permutations"""
"""Q014"",""Mathematics"",""What is the limit of (x² - 9)/(x - 3) as x approaches 3?"",""A) 3;B) 6;C) 9;D) Undefined"",""B"",""Medium"",""Analytical Skills"",""Calculus"",""Limits"""
"""Q015"",""Mathematics"",""If 2x² - 8x + 6 = 0, what are the roots?"",""A) 1 and 3;B) 2 and 3;C) 1 and 4;D) 3 and 4"",""B"",""Medium"",""Formula Application"",""Quadratic Equations"",""Roots of Equations"""
"""Q016"",""Mathematics"",""What is the probability of rolling an even number on a fair die?"",""A) 1/6;B) 1/3;C) 1/2;D) 2/3"",""C"",""Easy"",""Conceptual Understanding"",""Probability"",""Basic Probability"""
"""Q017"",""Mathematics"",""The determinant of [[3, 1], [2, 4]] is:"",""A) 10;B) 12;C) 14;D) 16"",""A"",""Medium"",""Formula Application"",""Matrices"",""Determinants"""
"""Q018"",""Mathematics"",""What is the value of √(64 + 36)?"",""A) 8;B) 9;C) 10;D) 11"",""C"",""Easy"",""Formula Application"",""Algebra"",""Square Roots"""
"""Q019"",""Mathematics"",""If cos θ = 3/5, what is sin θ?"",""A) 4/5;B) 3/4;C) 5/4;D) 4/3"",""A"",""Medium"",""Formula Application"",""Trigonometry"",""Pythagorean Identity"""
"""Q020"",""Mathematics"",""The sum of the series 1 + 3 + 5 + ... + 19 is:"",""A) 90;B) 100;C) 110;D) 120"",""B"",""Medium"",""Formula Application"",""Sequences and Series"",""Arithmetic Progression"""
